"";"OPT";"Time";"C";"name"
"Korelirani_R10_N10";245;0,0255091190338135;42;"Korelirani_R10_N10"
"Korelirani_R10_N100";2147;0,160976886749268;436;"Korelirani_R10_N100"
"Korelirani_R10_N50";851;0,0330829620361328;192;"Korelirani_R10_N50"
"Korelirani_R100_N10";220;0,00507211685180664;321;"Korelirani_R100_N10"
"Korelirani_R100_N100";3807;0,314986944198608;4292;"Korelirani_R100_N100"
"Korelirani_R100_N50";1872;0,0921609401702881;1874;"Korelirani_R100_N50"
"Korelirani_R100_N1000";33556;397,053586959839;38087;"Korelirani_R100_N1000"
"Korelirani_R1000_N10";3690;0,00437784194946289;3727;"Korelirani_R1000_N10"
"Korelirani_R1000_N100";34945;0,520268201828003;37193;"Korelirani_R1000_N100"
"Korelirani_R1000_N50";17178;0,100713968276978;17762;"Korelirani_R1000_N50"
"Nekorelirani_R10_N10";22;0,00188207626342773;31;"Nekorelirani_R10_N10"
"Nekorelirani_R10_N100";264;0,132565021514893;441;"Nekorelirani_R10_N100"
"Nekorelirani_R10_N50";143;0,0467529296875;188;"Nekorelirani_R10_N50"
"Nekorelirani_R100_N10";155;0,00426721572875977;286;"Nekorelirani_R100_N10"
"Nekorelirani_R100_N100";2467;0,235512971878052;4223;"Nekorelirani_R100_N100"
"Nekorelirani_R100_N50";1088;0,0696630477905273;1798;"Nekorelirani_R100_N50"
"Nekorelirani_R1000_N10";1806;0,00215792655944824;3322;"Nekorelirani_R1000_N10"
"Nekorelirani_R1000_N100";17636;0,586396932601929;35703;"Nekorelirani_R1000_N100"
"Nekorelirani_R1000_N50";11834;0,0911149978637695;19165;"Nekorelirani_R1000_N50"
"Nekorelirani_R100_N1000";20694;187,027303934097;37787;"Nekorelirani_R100_N1000"
